,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
417,marceloRJ_destroyer,32,10,53.13%,0.72,72 336
419,DeadOnDeliveryX,17,10,52.94%,0.94,85 061
419,Cannon_Fodder_xo,17,11,52.94%,0.59,63 625
419,Royce7575,34,10,52.94%,0.79,95 064
419,Vyktoris,34,11,52.94%,0.35,25 956
419,Prost7,17,14,52.94%,0.88,128 345
419,Hawkness,17,16,52.94%,0.94,54 001
419,054A1DaLian,17,11,52.94%,0.76,86 317
426,Aged_Beef,36,10,52.78%,0.72,54 299
427,blackangus,19,9,52.63%,0.58,47 341
427,BelugaLucas,19,11,52.63%,0.16,29 101
427,General_WTSherman,19,10,52.63%,0.58,52 975
427,vpkozel,19,11,52.63%,0.53,57 793
427,good_ballance,19,8,52.63%,1.0,126 157
427,Ednan72,38,14,52.63%,0.74,76 219
427,280605459,19,10,52.63%,0.79,107 399
427,iMoka,19,10,52.63%,1.16,89 753
435,Happy_Thoughts,40,8,52.5%,0.82,72 846
436,jasontmn,21,18,52.38%,0.48,57 267
436,ParagonOpus1,21,11,52.38%,0.95,82 907
436,Jacklo_1,21,10,52.38%,0.86,95 296
436,Admiral_Calamari,21,9,52.38%,0.81,93 734
436,SMOKEYSHADOWS,21,10,52.38%,0.38,73 623
436,NaKaN096303,21,10,52.38%,0.43,45 286
436,Santi_G_steel,21,14,52.38%,0.86,78 251
443,Comrad_Captain5,23,12,52.17%,0.48,59 963
443,zatara01,23,10,52.17%,0.61,82 350
443,UnAshamedKen,23,10,52.17%,0.43,43 574
443,HighSpeedSteel3,23,11,52.17%,0.52,42 822
443,Cpt_Hellfire,23,10,52.17%,0.83,96 105
443,advocator_,23,10,52.17%,0.74,86 262
443,JimBone86,23,11,52.17%,0.35,38 990
450,Airtroops83,25,10,52%,1.4,119 911
450,Arlock73,25,11,52%,0.24,53 608
450,ZHIQIU,25,12,52%,1.08,125 459
453,ShadowOcelot1,27,12,51.85%,0.81,126 777
454,SunkCostSubmarine,29,9,51.72%,1.14,91 507
454,HyPeXeLeD,29,8,51.72%,0.9,91 580
454,Aldo_479,29,10,51.72%,1.1,55 813
457,PPCHAHA,39,8,51.28%,0.82,87 380
458,elsaltenio,41,10,51.22%,0.83,68 830
458,Taregant,41,9,51.22%,0.63,94 083
460,KnotWorking,43,8,51.16%,0.91,89 728
461,Mongoose296,51,10,50.98%,0.53,54 701
462,___kirito,55,11,50.91%,0.67,72 046
463,Bronxman,26,12,50%,0.77,100 482
463,l3RAVE,14,11,50%,0.71,96 130
463,CaptSalt,36,9,50%,0.69,73 827
463,Agent822,16,11,50%,0.62,53 712
463,Cowboy_WY,24,10,50%,0.67,60 120
463,TankLlama,22,14,50%,0.73,56 415
463,BeastmodeGuNs,28,10,50%,0.5,65 375
463,kevin2804,20,10,50%,0.85,106 912
463,Reavan6,20,12,50%,0.65,88 260
463,Cpt_Crook,14,13,50%,1.0,117 205
463,AtlasRand,18,18,50%,0.83,118 700
463,TheKildar,16,12,50%,0.81,113 336
463,twobravo,16,15,50%,0.88,87 179
463,Poletramp,20,12,50%,0.25,30 560
463,Rabbitt81,14,13,50%,1.07,85 105
463,mavera20,16,12,50%,0.81,134 508
463,_Zeca_,26,9,50%,0.58,76 258
463,Doublevision11,18,11,50%,0.61,73 076
463,MRBUCK3T,14,12,50%,0.79,77 942
463,StusCru,24,10,50%,0.71,50 400
463,WanderQuest,14,10,50%,0.64,53 253
463,landocowrissian,38,11,50%,0.84,60 147
463,Mynamehasnik,14,14,50%,0.79,99 993
463,ReconCav,26,10,50%,0.46,56 868
463,JBcommander,14,12,50%,0.93,85 416
463,Superakm,20,11,50%,0.55,69 982
463,HugeSubpoena,28,10,50%,0.68,83 527
463,xalloc,24,13,50%,0.38,56 780
463,B2bimbap,14,12,50%,0.57,117 511
463,iSaint_v2,16,11,50%,0.62,82 067
463,fury_tom,14,17,50%,0.36,37 961
463,SHELLBACK_2,24,10,50%,0.58,68 729
463,Obi_Wan_Cannoli,14,11,50%,0.71,66 871
463,KotaruTsukishiro,18,11,50%,0.78,117 101
463,xElDUROx,14,11,50%,0.57,46 526
463,MR_Windsor,22,10,50%,0.45,41 660
463,tTank777,14,12,50%,0.21,70 437
463,badpanda15,34,9,50%,0.59,77 469
463,PieHero,20,10,50%,1.1,99 875
463,chuky_mexico,52,8,50%,0.56,120 415
463,Destroyer_KuroshioKai,20,10,50%,0.95,75 621
463,Poookerz,16,12,50%,0.94,106 884
463,Fryce_,18,10,50%,1.06,85 603
463,alphaE,18,11,50%,0.67,106 066
463,Surui,16,10,50%,0.94,82 245
463,Cap_Ostra,14,11,50%,0.71,59 538
463,SkyBlue4664,14,10,50%,0.71,78 405
463,MisterSlithers,14,11,50%,1.0,110 849
463,Maukadragon,18,11,50%,1.11,104 131
463,Samuelljacksonn,14,14,50%,0.43,66 653
463,aaronvargass,26,10,50%,0.73,82 322
463,Baturro__,20,10,50%,0.25,37 253
463,Stephen_Corelli,16,11,50%,0.38,96 135
463,Cruiser_Providence,18,11,50%,0.67,105 319
463,Carpasiking,14,11,50%,0.43,44 503
463,Iankuba,34,9,50%,0.68,92 468
463,WhyYouHefToBeMad,14,11,50%,0.71,79 430
463,lucentrevival,24,8,50%,0.96,105 361
463,Duicida,18,11,50%,0.72,88 086
463,Alienmenace_1,18,12,50%,0.61,63 337
463,Violetttt,16,10,50%,0.5,72 896
463,TrapLord17,22,11,50%,0.18,54 921
463,Blastoise_007,20,9,50%,0.75,97 767
463,Achilies_01,14,10,50%,1.07,97 034
463,Farting_Chick,18,9,50%,1.11,92 003
