,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
806,BYUL2013,20,11,35%,0.5,48 606
806,Fr4gm3ntation,20,11,35%,0.5,69 283
808,Zhenyuan_Hao,23,13,34.78%,0.57,111 774
809,PaRtYbOy_x_DaN,29,12,34.48%,0.55,66 756
810,Yamorth,35,12,34.29%,0.54,47 146
811,Unluckyimmortal,53,11,33.96%,0.42,63 186
812,GhostBunyip,18,11,33.33%,0.39,31 344
812,NIGHT_PATROL,21,14,33.33%,0.29,47 754
812,xHeavy,24,12,33.33%,0.17,27 580
812,Coronel_01,18,15,33.33%,0.78,79 856
812,CptBoma,15,12,33.33%,0.53,89 212
812,Diode_mA,15,12,33.33%,0.33,51 705
812,Triplj,21,12,33.33%,0.67,96 808
812,Tri_J96,18,14,33.33%,0.56,77 625
812,69MACH428CJ,15,10,33.33%,0.27,95 447
812,Thilmiran,18,15,33.33%,0.5,72 513
812,BigDExpress,39,12,33.33%,0.41,31 583
812,KEIGHT,18,15,33.33%,0.28,71 110
812,fabiancho_2018,30,13,33.33%,0.23,40 119
812,Capt_pussy_riot,15,12,33.33%,0.47,49 158
812,vientos23,18,14,33.33%,0.28,44 061
812,HnDDDtv,18,15,33.33%,0.78,80 857
828,SLingBlade22,28,12,32.14%,0.32,20 749
828,BB_Binx,28,12,32.14%,0.46,71 614
830,Limss,25,10,32%,0.84,93 719
831,NTRQZ,22,10,31.82%,0.73,109 226
832,kuervoska,19,12,31.58%,0.42,72 046
832,Master_Potatus,19,12,31.58%,0.26,73 175
834,Shiroe_Lhorizon,35,12,31.43%,0.66,73 943
835,eric2241,16,14,31.25%,0.44,84 856
835,Super_Average,16,15,31.25%,0.75,78 623
835,WhiteRay,16,11,31.25%,1.0,71 676
835,Bear_638,16,15,31.25%,0.44,68 508
835,mhbarnett448,32,11,31.25%,0.41,69 750
840,FatYogi,29,14,31.03%,0.41,39 922
840,chirsmacan,29,12,31.03%,0.59,50 181
842,bronzestick,20,12,30%,0.35,42 662
842,RafcioS,20,14,30%,0.4,70 009
844,Sank_you_for_playing_1,27,12,29.63%,0.81,92 780
845,zoltron_mario,17,10,29.41%,0.76,61 851
845,StukaRakuda,17,11,29.41%,0.59,104 906
845,Harmonieux,17,16,29.41%,0.47,46 710
848,EnriqueQZ,24,15,29.17%,0.08,33 035
849,Zuluzero2,14,15,28.57%,0.43,68 355
849,0TopHatJones0,14,14,28.57%,0.36,75 475
849,Alithian,14,12,28.57%,0.64,94 127
849,YouvBeenThumped,21,14,28.57%,0.38,57 683
853,Onslot_1,18,11,27.78%,0.78,65 293
853,ATSERVI,18,15,27.78%,0.39,38 396
855,NWShotgun,15,12,26.67%,0.33,66 756
855,_HR_,15,11,26.67%,0.67,135 919
855,Arari_Gama,15,12,26.67%,0.13,34 965
855,BlahAir,15,14,26.67%,0.93,65 389
859,Freddie305,34,15,26.47%,0.29,35 891
